code,label,value
AGR,"Agriculture, General",AGR-AgricultureGeneral
AGR,Agribusiness Operations,AGR-AgribusinessOperations
AGR,Agricultural Business & Management,AGR-AgriculturalBusinessManagement
AGR,Agricultural Economics,AGR-AgriculturalEconomics
AGR,Agricultural Mechanization,AGR-AgriculturalMechanization
AGR,Agricultural Production,AGR-AgriculturalProduction
AGR,Agronomy & Crop Science,AGR-AgronomyCropScience
AGR,Animal Sciences,AGR-AnimalSciences
AGR,Food Sciences & Technology,AGR-FoodSciencesTechnology
AGR,Horticulture Operations & Management,AGR-HorticultureOperationsManagement
AGR,Horticulture Science,AGR-HorticultureScience
AGR,"Natural Resources Conservation, General",AGR-NaturalResourcesConservationGeneral
AGR,Environmental Science,AGR-EnvironmentalScience
AGR,Forestry,AGR-Forestry
AGR,Natural Resources Management,AGR-NaturalResourcesManagement
AGR,Wildlife & Wildlands Management,AGR-WildlifeWildlandsManagement
AGR,– not listed here –,AGR-notlistedhere
ARC,"Architecture, General",ARC-ArchitectureGeneral
ARC,Architectural Environmental Design,ARC-ArchitecturalEnvironmentalDesign
ARC,City/Urban/Regional Planning,ARC-CityUrbanRegionalPlanning
ARC,Interior Architecture,ARC-InteriorArchitecture
ARC,Landscape Architecture,ARC-LandscapeArchitecture
ARC,– not listed here –,ARC-notlistedhere
ETH,"Area Studies, General (e.g., African, Middle Eastern)",ETH-AreaStudiesGeneralegAfricanMiddleEastern
ETH,Asian Area Studies,ETH-AsianAreaStudies
ETH,European Area Studies,ETH-EuropeanAreaStudies
ETH,Latin American Area Studies,ETH-LatinAmericanAreaStudies
ETH,North American Area Studies,ETH-NorthAmericanAreaStudies
ETH,"Ethnic & Minority Studies, General",ETH-EthnicMinorityStudiesGeneral
ETH,African American Studies,ETH-AfricanAmericanStudies
ETH,American Indian/Native American Studies,ETH-AmericanIndianNativeAmericanStudies
ETH,Latino/Chicano Studies,ETH-LatinoChicanoStudies
ETH,Women’s Studies,ETH-WomensStudies
ETH,Liberal Arts & General Studies,ETH-LiberalArtsGeneralStudies
ETH,Library Science,ETH-LibraryScience
ETH,Multi/Interdisciplinary Studies,ETH-MultiInterdisciplinaryStudies
ETH,– not listed here –,ETH-notlistedhere
ART,"Art, General",ART-ArtGeneral
ART,"Art History, Criticism & Conservation",ART-ArtHistoryCriticismConservation
ART,Fine/Studio Arts,ART-FineStudioArts
ART,Cinema/Film,ART-CinemaFilm
ART,Cinematography/Film/Vide Production,ART-CinematographyFilmVideProduction
ART,Dance,ART-Dance
ART,"Design & Visual Communications, General",ART-DesignVisualCommunicationsGeneral
ART,Fashion/Apparel Design,ART-FashionApparelDesign
ART,Graphic Design,ART-GraphicDesign
ART,Industrial Design,ART-IndustrialDesign
ART,Interior Design,ART-InteriorDesign
ART,"Music, General",ART-MusicGeneral
ART,"Music, Performance",ART-MusicPerformance
ART,"Music, Theory & Composition",ART-MusicTheoryComposition
ART,Photography,ART-Photography
ART,Theatre Arts/Drama,ART-TheatreArtsDrama
ART,– not listed here –,ART-notlistedhere
BIZ,Accounting,BIZ-Accounting
BIZ,Accounting Technician,BIZ-AccountingTechnician
BIZ,"Business Administration & Management, General",BIZ-BusinessAdministrationManagementGeneral
BIZ,Hotel/Motel Management,BIZ-HotelMotelManagement
BIZ,Human Resources Development/Training,BIZ-HumanResourcesDevelopmentTraining
BIZ,Human Resources Management,BIZ-HumanResourcesManagement
BIZ,International Business Management,BIZ-InternationalBusinessManagement
BIZ,Labor/Industrial Relations,BIZ-LaborIndustrialRelations
BIZ,Logistics & Materials Management,BIZ-LogisticsMaterialsManagement
BIZ,Marketing Management & Research,BIZ-MarketingManagementResearch
BIZ,Office Supervision & Management,BIZ-OfficeSupervisionManagement
BIZ,Operations Management & Supervision,BIZ-OperationsManagementSupervision
BIZ,Organizational Behavior,BIZ-OrganizationalBehavior
BIZ,Purchasing/Procurement/Contracts Management,BIZ-PurchasingProcurementContractsManagement
BIZ,Restaurant/Food Services Management,BIZ-RestaurantFoodServicesManagement
BIZ,Small Business Management/Operations,BIZ-SmallBusinessManagementOperations
BIZ,Travel/Tourism Management,BIZ-TravelTourismManagement
BIZ,"Business/Management Quantitative Methods, General",BIZ-BusinessManagementQuantitativeMethodsGeneral
BIZ,Actuarial Science,BIZ-ActuarialScience
BIZ,Business/Managerial Economics,BIZ-BusinessManagerialEconomics
BIZ,"Finance, General",BIZ-FinanceGeneral
BIZ,Banking & Financial Support Services,BIZ-BankingFinancialSupportServices
BIZ,Financial Planning & Services,BIZ-FinancialPlanningServices
BIZ,Insurance & Risk Management,BIZ-InsuranceRiskManagement
BIZ,Investments & Securities,BIZ-InvestmentsSecurities
BIZ,Management Information Systems,BIZ-ManagementInformationSystems
BIZ,Real Estate,BIZ-RealEstate
BIZ,"Sales, Merchandising, & Marketing, General",BIZ-SalesMerchandisingMarketingGeneral
BIZ,Fashion Merchandising,BIZ-FashionMerchandising
BIZ,Tourism & Travel Marketing,BIZ-TourismTravelMarketing
BIZ,Secretarial Studies & Office Administration,BIZ-SecretarialStudiesOfficeAdministration
BIZ,– not listed here –,BIZ-notlistedhere
COM,"Communications, General",COM-CommunicationsGeneral
COM,Advertising,COM-Advertising
COM,Digital Communications/Media,COM-DigitalCommunicationsMedia
COM,"Journalism, Broadcast",COM-JournalismBroadcast
COM,"Journalism, Print",COM-JournalismPrint
COM,Mass Communications,COM-MassCommunications
COM,Public Relations & Organizational Communication,COM-PublicRelationsOrganizationalCommunication
COM,Radio & Television Broadcasting,COM-RadioTelevisionBroadcasting
COM,"Communications Technology, General",COM-CommunicationsTechnologyGeneral
COM,Graphic & Printing Equipment Operation,COM-GraphicPrintingEquipmentOperation
COM,Multimedia/Animation/Special Effects,COM-MultimediaAnimationSpecialEffects
COM,Radio & Television Broadcasting Technology,COM-RadioTelevisionBroadcastingTechnology
COM,– not listed here –,COM-notlistedhere
FAM,"Family & Consumer Sciences, General",FAM-FamilyConsumerSciencesGeneral
FAM,Adult Development & Aging/Gerontology,FAM-AdultDevelopmentAgingGerontology
FAM,Child Care Services Management,FAM-ChildCareServicesManagement
FAM,Child Development,FAM-ChildDevelopment
FAM,Consumer & Family Economics,FAM-ConsumerFamilyEconomics
FAM,Food & Nutrition,FAM-FoodNutrition
FAM,Textile & Apparel,FAM-TextileApparel
FAM,"Parks, Recreation, & Leisure, General",FAM-ParksRecreationLeisureGeneral
FAM,Exercise Science/Physiology/Kinesiology,FAM-ExerciseSciencePhysiologyKinesiology
FAM,Health & Physical Education/Fitness,FAM-HealthPhysicalEducationFitness
FAM,Parks/Rec/Leisure Facilities Management,FAM-ParksRecLeisureFacilitiesManagement
FAM,Sport & Fitness Administration/Management,FAM-SportFitnessAdministrationManagement
FAM,"Personal Services, General",FAM-PersonalServicesGeneral
FAM,Cosmetology/Hairstyling,FAM-CosmetologyHairstyling
FAM,Culinary Arts/Chef Training,FAM-CulinaryArtsChefTraining
FAM,Funeral Services & Mortuary Science,FAM-FuneralServicesMortuaryScience
FAM,"Protective Services, General",FAM-ProtectiveServicesGeneral
FAM,Corrections,FAM-Corrections
FAM,Criminal Justice,FAM-CriminalJustice
FAM,Fire Protection & Safety Technology,FAM-FireProtectionSafetyTechnology
FAM,Law Enforcement,FAM-LawEnforcement
FAM,Military Technologies,FAM-MilitaryTechnologies
FAM,"Public Administration & Services, General",FAM-PublicAdministrationServicesGeneral
FAM,Community Organization & Advocacy,FAM-CommunityOrganizationAdvocacy
FAM,Public Administration,FAM-PublicAdministration
FAM,Public Affairs & Public Policy Analysis,FAM-PublicAffairsPublicPolicyAnalysis
FAM,Social Work,FAM-SocialWork
FAM,– not listed here –,FAM-notlistedhere
MAT,"Computer & Information Sciences, General",MAT-ComputerInformationSciencesGeneral
MAT,Computer Networking/Telecommunications,MAT-ComputerNetworkingTelecommunications
MAT,Computer Science & Programming,MAT-ComputerScienceProgramming
MAT,Computer Software & Media Applications,MAT-ComputerSoftwareMediaApplications
MAT,Computer System Administration,MAT-ComputerSystemAdministration
MAT,Data Management Technology,MAT-DataManagementTechnology
MAT,Information Science,MAT-InformationScience
MAT,Webpage Design,MAT-WebpageDesign
MAT,"Mathematics, General",MAT-MathematicsGeneral
MAT,Applied Mathematics,MAT-AppliedMathematics
MAT,Statistics,MAT-Statistics
MAT,– not listed here –,MAT-notlistedhere
EDU,Counseling & Student Services,EDU-CounselingStudentServices
EDU,Educational Administration,EDU-EducationalAdministration
EDU,Special Education,EDU-SpecialEducation
EDU,"Teacher Education, General",EDU-TeacherEducationGeneral
EDU,Curriculum & Instruction,EDU-CurriculumInstruction
EDU,Early Childhood Education,EDU-EarlyChildhoodEducation
EDU,Elementary Education,EDU-ElementaryEducation
EDU,Junior High/Middle School Education,EDU-JuniorHighMiddleSchoolEducation
EDU,Postsecondary Education,EDU-PostsecondaryEducation
EDU,Secondary Education,EDU-SecondaryEducation
EDU,Teacher Assisting/Aide Education,EDU-TeacherAssistingAideEducation
EDU,"Teacher Education, Subject-Specific",EDU-TeacherEducationSubjectSpecific
EDU,Agricultural Education,EDU-AgriculturalEducation
EDU,Art Education,EDU-ArtEducation
EDU,Business Education,EDU-BusinessEducation
EDU,Career & Technical Education,EDU-CareerTechnicalEducation
EDU,English-as-a-Second-Language Education,EDU-EnglishasaSecondLanguageEducation
EDU,English/Language Arts Education,EDU-EnglishLanguageArtsEducation
EDU,Foreign Languages Education,EDU-ForeignLanguagesEducation
EDU,Health Education,EDU-HealthEducation
EDU,Mathematics Education,EDU-MathematicsEducation
EDU,Music Education,EDU-MusicEducation
EDU,Physical Education & Coaching,EDU-PhysicalEducationCoaching
EDU,Science Education,EDU-ScienceEducation
EDU,Social Studies/Sciences Education,EDU-SocialStudiesSciencesEducation
EDU,– not listed here –,EDU-notlistedhere
ENG,"Engineering (Pre-Engineering), General",ENG-EngineeringPreEngineeringGeneral
ENG,Aerospace/Aeronautical Engineering,ENG-AerospaceAeronauticalEngineering
